date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
2015-01-01,50,3,FALSE,0.03,1.5
2015-01-02,50,3,,0.03,1.5
2015-01-03,55,3,,0.03,1.65
2015-01-04,69,3,,0.03,2.07
2015-01-05,67,3,,0.03,2.01
2015-01-06,73,3,,0.03,2.19
2015-01-07,54,3,,0.03,1.62
2015-01-08,60,3,,0.03,1.8
2015-01-09,57,3,,0.03,1.71
2015-01-10,55,3,,0.03,1.65
2015-01-11,51,3,,0.03,1.53
2015-01-12,47,3,,0.03,1.41
2015-01-13,64,3,,0.03,1.92
2015-01-14,100,3,,0.03,3
2015-01-15,84,3,,0.03,2.52
2015-01-16,70,3,,0.03,2.1
2015-01-17,57,3,,0.03,1.71
2015-01-18,54,3,,0.03,1.62
2015-01-19,50,3,,0.03,1.5
2015-01-20,53,3,,0.03,1.59
2015-01-21,60,3,,0.03,1.8
2015-01-22,51,3,,0.03,1.53
2015-01-23,54,3,,0.03,1.62
2015-01-24,52,3,,0.03,1.56
2015-01-25,55,3,,0.03,1.65
2015-01-26,82,3,,0.03,2.46
2015-01-27,63,3,,0.03,1.89
2015-01-28,60,3,,0.03,1.8
2015-01-29,58,3,,0.03,1.74
2015-01-30,51,3,,0.03,1.53
2015-01-31,47,3,,0.03,1.41
2015-02-01,56,3,FALSE,0.03,1.68
2015-02-02,52,3,,0.03,1.56
2015-02-03,60,3,,0.03,1.8
2015-02-04,54,3,,0.03,1.62
2015-02-05,59,3,,0.03,1.77
2015-02-06,58,3,,0.03,1.74
2015-02-07,71,3,,0.03,2.13
2015-02-08,66,3,,0.03,1.98
2015-02-09,71,3,,0.03,2.13
2015-02-10,70,3,,0.03,2.1
2015-02-11,57,3,,0.03,1.71
2015-02-12,65,3,,0.03,1.95
2015-02-13,55,3,,0.03,1.65
2015-02-14,58,3,,0.03,1.74
2015-02-15,59,3,,0.03,1.77
2015-02-16,60,3,,0.03,1.8
2015-02-17,61,3,,0.03,1.83
2015-02-18,57,3,,0.03,1.71
2015-02-19,63,3,,0.03,1.89
2015-02-20,100,3,,0.03,3
2015-02-21,64,3,,0.03,1.92
2015-02-22,59,3,,0.03,1.77
2015-02-23,59,3,,0.03,1.77
2015-02-24,55,3,,0.03,1.65
2015-02-25,52,3,,0.03,1.56
2015-02-26,51,3,,0.03,1.53
2015-02-27,54,3,,0.03,1.62
2015-02-28,50,3,,0.03,1.5
2015-03-01,75,3,FALSE,0.03,2.25
2015-03-02,83,3,,0.03,2.49
2015-03-03,82,3,,0.03,2.46
2015-03-04,85,3,,0.03,2.55
2015-03-05,82,3,,0.03,2.46
2015-03-06,99,3,,0.03,2.97
2015-03-07,100,3,,0.03,3
2015-03-08,84,3,,0.03,2.52
2015-03-09,84,3,,0.03,2.52
2015-03-10,98,3,,0.03,2.94
2015-03-11,96,3,,0.03,2.88
2015-03-12,84,3,,0.03,2.52
2015-03-13,85,3,,0.03,2.55
2015-03-14,81,3,,0.03,2.43
2015-03-15,81,3,,0.03,2.43
2015-03-16,91,3,,0.03,2.73
2015-03-17,84,3,,0.03,2.52
2015-03-18,96,3,,0.03,2.88
2015-03-19,95,3,,0.03,2.85
2015-03-20,80,3,,0.03,2.4
2015-03-21,77,3,,0.03,2.31
2015-03-22,76,3,,0.03,2.28
2015-03-23,78,3,,0.03,2.34
2015-03-24,77,3,,0.03,2.31
2015-03-25,90,3,,0.03,2.7
2015-03-26,84,3,,0.03,2.52
2015-03-27,72,3,,0.03,2.16
2015-03-28,67,3,,0.03,2.01
2015-03-29,74,3,,0.03,2.22
2015-03-30,94,3,,0.03,2.82
2015-03-31,82,3,,0.03,2.46
2015-04-01,97,2,FALSE,0.02,1.94
2015-04-02,89,2,,0.02,1.78
